"",""SRR349743"",""SRR349744"",""SRR349745"",""SRR349746"",""SRR349747"",""SRR349748"",""SRR349749"",""SRR349750"",""SRR349751"",""SRR349752""
LOC124902834,0,0,0,0,0,0,0,0,0,0
LINC02151,0,0,0,0,0,0,0,0,0,0
LOC107984372,0,0,0,0,0,0,0,0,0,0
LINC02702,1,0,0,0,0,0,0,0,0,0
BUD13,38,2,3,3,1,3,55,2,0,0
BUD13-DT,0,0,0,0,0,0,0,0,0,0
ZPR1,61,4,1,2,0,2,52,0,1,0
APOA5,0,0,0,0,0,0,0,0,0,0
LNC-RHL1,0,0,0,0,0,0,0,0,0,0
APOA4,0,0,0,0,0,0,0,0,0,0
APOC3,0,0,0,0,0,0,0,0,0,0
APOA1,0,0,0,0,0,0,0,0,0,0
APOA1-AS,0,0,0,0,0,0,0,0,0,0
SIK3,125,4,5,2,2,7,45,2,2,3
LOC124902763,16,2,0,0,0,0,7,0,0,0
PAFAH1B2,601,35,36,27,19,17,398,16,6,5
SIDT2,84,2,0,1,2,2,76,2,3,1
LOC100652768,19,0,0,1,1,0,10,0,1,0
TAGLN,1548,27,38,28,15,4,58,1,0,0
PCSK7,712,8,16,8,7,3,85,1,2,0
RNF214,34,2,2,2,0,1,8,1,1,0
LOC124900313,0,0,0,0,0,0,0,0,0,0
BACE1,155,6,4,4,3,1,53,1,0,2
BACE1-AS,7,0,0,0,0,0,0,0,0,0
CEP164,29,0,0,1,0,0,12,0,1,0
DSCAML1,1,0,0,0,0,0,1,0,0,0
LOC105369515,0,0,0,0,0,0,0,0,0,0
FXYD6-FXYD2,21,0,0,0,1,0,1,0,0,0
FXYD2,0,0,0,0,0,0,0,0,0,0
FXYD6-AS1,99,2,1,0,1,0,4,1,0,0
FXYD6,126,3,1,0,2,0,5,1,0,0
TMPRSS13,77,4,0,0,0,6,184,1,1,2
IL10RA,28,2,0,0,2,0,13,0,1,0
SMIM35,0,0,0,0,0,0,0,0,0,0
TMPRSS4,210,38,19,48,9,66,1277,12,25,13
LOC105369517,0,0,0,0,0,0,0,0,0,0
SCN4B,44,0,2,0,0,1,16,1,0,0
SCN2B,32,0,0,0,0,0,3,0,0,0
JAML,3,0,0,0,0,1,19,0,0,0
MPZL3,246,5,5,3,3,21,1068,12,22,14
MPZL2,434,20,10,17,3,56,1627,28,38,17
CD3E,0,0,2,0,0,1,23,0,0,0
CD3D,0,0,0,1,0,0,26,0,0,0
CD3G,0,0,0,0,0,0,8,0,0,0
UBE4A,283,12,10,6,8,7,213,4,3,0
LOC100131626,5,1,0,0,0,0,5,0,0,0
ATP5MG,188,9,11,11,8,12,404,7,7,7
KMT2A,200,7,9,8,3,2,71,1,3,0
TTC36-AS1,8,0,0,0,0,0,1,0,0,0
TTC36,3,0,0,0,0,0,0,0,0,0
TMEM25,70,1,0,0,0,3,20,0,0,0
IFT46,23,2,1,0,0,0,8,1,0,1
LOC124902764,0,0,0,0,0,0,1,0,0,0
ARCN1,363,20,13,12,6,6,173,2,5,1
LOC124902765,9,0,0,1,0,0,0,0,0,0
PHLDB1,110,3,4,2,3,0,7,0,0,1
MIR6716,0,0,0,0,0,0,0,0,0,0
TREH,21,2,1,1,1,0,3,0,0,0
LOC105369519,0,0,0,0,0,0,0,0,0,0
LOC124902766,0,0,0,0,0,0,2,0,0,0
DDX6,670,19,51,39,10,14,403,10,7,5
CXCR5,20,1,1,0,0,0,23,0,0,0
LOC124902767,0,0,0,0,0,0,0,0,0,0
BCL9L,87,3,1,2,1,3,67,0,1,1
MIR4492,0,0,0,0,0,0,0,0,0,0
UPK2,0,0,0,0,0,0,4,0,0,0
FOXR1,0,0,0,0,0,0,0,0,0,0
LOC124902768,1,0,0,0,0,0,0,0,0,0
CENATAC-DT,0,0,0,0,0,0,1,0,0,0
CENATAC,4,1,0,1,0,0,3,0,0,0
RPL23AP64,3,0,0,0,0,0,6,0,0,1
RPS25,81,6,6,6,1,3,138,0,5,0
TRAPPC4,24,1,2,0,1,1,29,2,0,0
SLC37A4,19,2,3,0,0,0,17,0,0,0
HYOU1,141,11,4,6,4,7,48,0,3,1
HYOU1-AS1,20,1,0,2,1,0,8,0,1,0
LOC124902769,1,0,0,0,0,0,1,0,0,0
VPS11,59,2,3,4,0,3,68,2,1,0
HMBS,32,4,1,2,0,0,35,1,1,0
DPAGT1,147,5,11,13,3,7,114,3,4,0
H2AX,115,5,6,11,3,5,73,3,1,0
C2CD2L,10,0,0,1,1,1,8,0,0,0
HINFP,41,3,1,1,0,3,38,0,2,0
ABCG4,4,0,1,0,0,0,2,0,0,0
NLRX1,63,3,1,1,2,20,514,7,6,7
NHERF4,0,0,0,0,0,0,0,0,0,0
DRC12,1,0,0,0,0,0,2,0,0,0
SNORD150,0,0,0,0,0,0,0,0,0,0
CBL,156,8,11,3,13,1,95,1,1,0
MCAM,392,5,8,11,3,1,27,0,0,0
MIR6756,0,0,0,0,0,0,0,0,0,0
RNF26,109,5,6,8,2,3,58,1,2,1
C1QTNF5,92,0,4,1,2,0,4,0,0,0
MFRP,92,0,4,1,2,0,4,0,0,0
USP2,14,0,0,0,0,1,18,1,1,0
USP2-AS1,2,0,0,0,0,0,0,0,0,0
THY1,302,8,14,6,11,0,4,0,0,0
LOC124902770,0,0,0,0,0,0,0,0,0,0
LOC107984398,0,0,0,0,0,0,0,0,0,0
LOC105369520,0,0,0,0,0,0,0,0,0,0
NECTIN1,452,29,17,17,9,29,554,20,5,7
LOC124900303,6,0,0,0,0,0,10,0,0,0
NECTIN1-AS1,0,0,0,0,0,0,1,0,0,0
NECTIN1-DT,4,1,0,0,0,0,0,0,0,0
LOC124902771,0,0,0,0,0,0,0,0,0,0
LOC124902772,0,0,0,0,0,0,0,0,0,0
LOC105369526,0,0,0,0,0,0,4,0,0,0
LINC02744,0,0,0,0,0,0,0,0,0,0
LOC105369527,0,0,0,0,0,0,0,0,0,0
LOC105378956,0,0,0,0,0,0,0,0,0,0
TRIM29,333,18,21,39,15,73,1207,35,48,30
LOC105369529,3,0,0,1,0,1,6,1,1,0
LOC107984399,0,0,0,0,0,0,0,0,0,0
LOC124902773,1,0,0,0,0,0,0,0,0,0
LOC105369530,0,0,0,0,0,0,0,0,0,0
OAF,78,2,3,0,1,2,25,2,0,0
POU2F3,5,0,0,0,0,0,13,0,0,0
POU2F3-AS1,1,0,0,0,0,0,0,0,0,0
LOC105369531,0,0,0,0,0,0,0,0,0,0
TLCD5,8,1,2,0,0,1,4,0,0,0
ARHGEF12,552,24,31,28,13,13,328,12,9,5
GRIK4,2,0,0,0,0,0,0,0,0,0
LOC105369532,0,0,0,0,0,0,0,0,0,0
LOC101929227,0,0,0,0,0,0,0,0,0,0
LOC101929208,0,0,0,0,0,0,0,0,0,0
TBCEL-TECTA,25,0,1,0,0,2,6,0,0,0
TBCEL,72,2,2,0,2,2,11,0,1,0
TECTA,2,0,0,0,0,0,0,0,0,0
LOC105369533,0,0,0,0,0,0,0,0,0,0
LOC105369534,0,0,0,0,0,0,0,0,0,0
SC5D,371,22,30,17,5,8,609,6,8,1
SORL1-AS1,1,0,0,0,0,0,0,0,0,0
SORL1,345,17,27,9,11,4,94,5,2,3
LOC105369535,0,0,0,0,0,0,0,0,0,0
LOC107984402,0,0,0,0,0,0,0,0,0,0
MIR100HG,48,4,3,3,1,0,18,0,0,0
MIR125B1,1,0,0,0,0,0,0,0,0,0
BLID,0,0,0,0,0,0,0,0,0,0
MIRLET7A2,0,0,0,0,0,0,0,0,0,0
MIR10526,0,0,0,0,0,0,0,0,0,0
MIR100,0,0,0,0,0,0,0,0,0,0
TRK-TTT2-1,0,1,0,0,0,0,0,0,0,0
UBASH3B,81,0,0,3,1,0,18,2,1,0
LOC124902828,0,0,0,0,0,0,0,0,0,0
CRTAM,1,0,0,0,0,0,2,0,0,0
JHY,28,0,1,4,1,2,37,2,0,0
LOC124902774,1,0,0,0,0,0,0,0,0,0
BSX,1,0,0,0,0,0,0,0,0,0
SAE1P1,10,1,1,4,0,1,9,0,0,0
HSPA8,2676,80,127,131,79,65,1816,23,48,30
SNORD14E,1,0,0,0,1,0,1,0,1,0
SNORD14D,3,1,0,0,11,0,1,0,0,1
SNORD14C,21,10,0,2,51,0,35,0,2,8
LOC124902775,5,1,1,0,0,0,2,0,0,0
CLMP,66,4,4,1,1,0,0,0,0,0
LOC105369540,0,0,0,0,0,0,0,0,0,0
LOC105369539,0,0,0,0,0,0,0,0,0,0
LOC124900305,0,2,2,0,1,1,4,0,0,0
LINC02727,0,0,0,0,0,0,0,0,0,0
GRAMD1B,4,0,0,0,0,0,5,0,0,0
MIR4493,0,0,0,0,0,0,0,0,0,0
LOC124902776,1,0,0,0,0,0,0,0,0,0
SCN3B,3,0,1,0,0,0,3,0,0,0
LOC124902777,0,0,0,0,0,0,0,0,0,0
LOC105369543,0,0,0,0,0,0,0,0,0,0
ZNF202,18,0,0,1,0,2,3,0,0,0
OR6X1,0,0,0,0,0,0,0,0,0,0
LOC105369544,0,0,0,0,0,0,0,0,0,0
OR6M1,0,0,0,0,0,0,0,0,0,0
TMEM225,0,0,0,0,0,0,0,0,0,0
OR8D4,0,0,0,0,0,0,0,0,0,0
OR4D5,0,0,0,0,0,0,0,0,0,0
OR6T1,0,0,0,0,0,0,0,0,0,0
OR10S1,0,0,0,1,0,0,0,0,0,0
OR10G6,0,0,0,0,0,0,0,0,0,0
OR10G4,0,0,0,0,0,0,0,0,0,0
OR10G9,0,0,0,0,0,0,0,0,0,0
OR10G8,0,0,0,0,0,0,0,0,0,0
OR10G7,0,0,0,0,0,0,0,0,0,0
LOC105369545,0,0,0,0,0,0,0,0,0,0
VWA5A,78,0,2,3,0,2,78,0,1,0
LOC124902778,0,0,0,0,0,0,0,0,0,0
OR10D3,0,0,0,0,0,0,0,0,0,0
OR8G3,0,0,0,0,0,0,0,0,0,0
LOC102724410,0,0,0,0,0,0,0,0,0,0
OR8G2P,0,0,0,0,0,0,0,0,0,0
OR8G1,0,0,0,0,0,0,0,0,0,0
OR8G5,0,0,0,0,0,0,0,0,0,0
OR8D1,0,0,0,0,0,0,0,0,0,0
LOC112268069,0,0,0,0,0,0,0,0,0,0
OR8D2,0,0,0,0,0,0,0,0,0,0
OR8B2,0,0,0,0,0,0,0,0,0,0
OR8B3,0,0,0,0,0,0,0,0,0,0
LOC107984404,0,0,0,0,0,0,0,0,0,0
OR8B4,0,0,0,0,0,0,0,0,0,0
OR8B8,0,0,0,0,0,0,0,0,0,0
OR8B12,0,0,0,0,0,0,0,0,0,0
OR8A1,0,0,0,0,0,0,0,0,0,0
PANX3,0,0,0,0,0,0,0,0,0,0
LOC124902779,12,0,0,1,0,0,0,0,0,0
TBRG1,66,1,5,2,1,3,50,2,1,0
SIAE,143,18,7,5,83,7,237,9,11,45
SPA17,12,0,1,0,0,0,9,0,0,1
LOC124902780,0,0,0,0,0,0,0,0,0,0
LOC107984405,0,0,0,0,0,0,0,0,0,0
NRGN,3,0,0,0,0,0,1,0,0,0
NRGN-AS1,1,0,0,0,0,0,0,0,0,0
VSIG2,8,0,0,1,0,12,115,2,5,3
ESAM,37,0,1,2,1,3,159,1,4,4
ESAM-AS1,1,0,0,0,0,0,14,1,1,1
MSANTD2,10,1,0,0,1,0,4,0,0,0
MSANTD2-AS1,4,0,0,0,0,0,1,0,0,0
ROBO3,1,0,0,0,0,0,0,0,0,0
ROBO4,17,0,1,0,2,0,7,1,0,0
LOC107984406,0,0,0,0,0,0,0,0,0,0
HEPACAM,0,0,0,0,0,0,0,0,0,0
HEPN1,0,0,0,0,0,0,0,0,0,0
CCDC15-DT,0,0,0,0,0,0,0,0,0,0
CCDC15,12,0,0,0,0,1,8,0,0,0
SLC37A2,161,2,2,7,5,10,179,0,4,4
TMEM218,33,2,1,3,0,3,24,1,0,0
PKNOX2-DT,0,0,0,0,0,0,0,0,0,0
PKNOX2,2,0,0,0,0,0,5,0,0,0
PKNOX2-AS1,0,0,0,0,0,0,0,0,0,0
FEZ1,18,10,2,2,0,0,0,0,0,0
LOC403312,0,0,0,0,0,0,0,0,0,0
STT3A-AS1,0,0,0,0,0,0,0,0,0,0
EI24,190,14,14,5,4,5,192,6,5,1
STT3A,193,7,14,10,5,3,96,1,4,0
CHEK1,40,1,3,4,0,0,9,1,0,0
LOC118567325,0,0,0,0,0,0,0,0,0,0
ACRV1,1,0,0,0,0,0,0,0,0,0
LOC105369551,0,0,0,0,0,0,0,0,0,0
PATE1,0,0,0,0,0,0,0,0,0,0
PATE2,0,0,1,0,0,0,0,0,0,0
PATE3,0,0,0,0,0,0,0,0,0,0
PATE4,0,0,0,0,0,0,0,0,0,0
LINC03136,1,0,0,0,0,0,0,0,0,0
HYLS1,19,1,2,1,1,1,14,1,0,0
PUS3,26,0,2,0,0,0,9,1,0,0
DDX25,0,0,0,0,0,0,0,0,0,0
DDX25-AS1,0,0,0,0,0,0,0,0,0,0
VSIG10L2,0,0,0,0,0,0,0,0,0,0
CDON,22,2,1,0,0,0,2,0,0,0
LOC124902782,0,0,0,0,0,0,0,0,0,0
LOC107984407,0,0,0,0,0,0,0,0,0,0
LOC124902784,0,0,0,0,0,0,0,0,0,0
LOC105369591,0,0,0,0,0,0,0,0,0,0
LOC124902783,0,0,0,0,0,0,0,0,0,0
RPUSD4,44,4,3,4,2,0,38,2,3,2
FAM118B,49,5,1,5,1,4,50,1,0,2
SRPRA,331,24,9,7,5,8,211,10,5,3
FOXRED1,38,0,4,1,2,0,25,1,2,1
TIRAP,14,1,1,0,0,2,32,0,1,1
TIRAP-AS1,6,1,1,1,0,0,12,0,0,0
DCPS,28,1,4,4,1,3,20,2,1,0
GSEC,3,1,1,0,1,0,1,0,0,0
ST3GAL4,42,1,2,3,1,19,306,10,10,3
KIRREL3,1,0,0,0,0,0,0,0,0,0
KIRREL3-AS1,0,0,0,0,0,0,0,0,0,0
KIRREL3-AS4,0,0,0,0,0,0,2,0,0,0
LOC124902785,0,0,0,0,0,0,0,0,0,0
LOC105369561,0,0,0,0,0,0,0,0,0,0
LOC105369559,2,0,0,0,0,0,0,0,0,0
KIRREL3-AS2,0,0,0,0,0,0,0,0,0,0
MIR3167,0,0,0,0,0,0,0,0,0,0
LOC105369558,0,0,0,0,0,0,0,0,0,0
KIRREL3-AS3,0,0,0,0,0,0,0,0,0,0
LOC101929473,0,0,0,0,0,0,0,0,0,0
LOC105369562,0,0,0,0,0,0,0,0,0,0
LOC107984379,0,0,0,0,0,0,0,0,0,0
LINC02712,0,0,0,0,0,0,0,0,0,0
LOC107984373,0,0,0,0,0,0,0,0,0,0
LOC107984374,0,0,0,0,0,0,0,0,0,0
LINC02725,0,0,0,0,0,0,0,0,0,0
LINC02098,0,0,0,0,0,0,0,0,0,0
LOC124902786,0,0,0,0,0,0,0,0,0,0
LOC124902787,0,0,0,0,0,0,0,0,0,0
LOC124902788,0,0,0,0,0,0,0,0,0,0
LOC124902789,0,0,0,0,0,0,0,0,0,0
ETS1,116,6,16,6,8,0,54,0,2,0
MIR6090,0,0,0,0,0,0,0,0,0,0
ETS1-AS1,2,0,0,0,0,0,0,0,0,0
LOC124902790,0,0,0,0,0,0,0,0,0,0
LOC105369565,3,0,0,0,0,0,0,0,0,0
LOC105369568,1,0,0,0,0,0,0,0,0,0
LOC101929538,0,0,0,0,0,0,0,0,0,0
FLI1,13,1,3,1,1,0,15,0,1,0
SENCR,1,0,0,0,0,0,0,0,0,0
KCNJ1,2,0,0,0,0,0,0,0,0,0
LOC107984409,0,0,0,0,0,0,0,0,0,0
KCNJ5,17,0,0,0,2,0,3,0,0,0
KCNJ5-AS1,12,0,0,0,0,0,3,0,0,0
TP53AIP1,66,0,1,2,0,4,36,1,0,0
ARHGAP32,156,7,5,6,1,16,353,4,13,1
LOC399975,16,0,1,0,0,0,13,0,1,0
LOC124902791,0,0,0,0,0,0,0,0,0,0
LOC105369571,0,0,0,0,0,0,0,0,0,0
LOC105369572,0,0,0,0,0,0,0,0,0,0
BARX2,30,0,1,1,0,15,235,9,6,0
LINC01395,0,0,0,0,0,0,5,0,0,0
LOC124902792,0,0,0,0,0,1,2,0,0,0
LOC124902793,0,0,0,0,0,0,0,0,0,0
TMEM45B,62,4,1,1,0,13,290,6,4,2
NFRKB,49,2,1,2,0,0,22,0,0,0
PRDM10,21,1,1,1,1,0,18,1,1,0
PRDM10-DT,1,0,0,0,0,0,1,0,0,0
LOC107984432,0,0,0,0,0,0,0,0,0,0
APLP2,576,25,18,11,10,6,237,7,6,4
ST14,307,2,4,6,8,9,234,1,5,4
ZBTB44,281,13,17,18,5,7,308,9,5,1
ZBTB44-DT,0,0,0,0,0,0,0,0,0,0
ADAMTS8,2,0,0,0,0,0,0,0,0,0
ADAMTS15,28,5,1,1,1,0,1,0,0,0
LOC105369574,0,0,0,0,0,0,0,0,0,0
MIR8052,0,0,0,0,0,0,0,0,0,0
LINC02873,0,0,0,0,0,0,1,0,1,0
LOC105369575,0,0,0,0,0,0,0,0,0,0
LOC105369576,0,0,0,0,0,0,0,0,0,0
LINC02551,0,0,0,0,0,0,0,0,0,0
SNX19,155,6,2,11,5,6,112,1,2,0
LOC105369577,1,0,0,0,0,0,0,0,0,0
LOC107984411,0,0,0,0,0,0,0,0,0,0
LOC105369579,0,0,0,0,0,0,0,0,0,0
LOC105369578,0,0,0,0,0,0,0,0,0,0
LOC107984412,0,0,0,0,0,0,0,0,0,0
LOC124902794,0,0,0,0,0,0,0,0,0,0
NTM,31,2,0,0,2,0,0,0,0,0
NTM-AS2,0,0,0,0,0,0,0,0,0,0
NTM-AS1,0,0,0,0,0,0,0,0,0,0
NTM-AS3,0,0,0,0,0,0,0,0,0,0
LOC124902795,2,0,0,0,0,0,0,0,0,0
NTM-IT,0,0,0,0,0,0,0,0,0,0
OPCML,1,1,0,0,0,0,0,0,0,0
LOC105369580,0,0,0,0,0,0,0,0,0,0
LOC124902796,0,0,0,0,0,0,0,0,0,0
OPCML-IT1,0,0,0,0,0,0,0,0,0,0
LOC124902835,0,0,0,0,0,0,0,0,0,0
LINC02743,0,0,0,0,0,0,0,0,0,0
SPATA19,0,0,0,0,0,0,1,0,0,0
IGSF9B,11,0,1,0,0,0,0,0,0,0
MIR4697,0,0,0,0,0,0,0,0,0,0
LINC02730,0,0,0,0,0,0,0,0,0,0
LINC02731,0,0,0,0,0,0,0,0,0,0
JAM3,28,0,2,1,2,0,2,0,0,0
LOC124902797,1,0,0,0,0,0,0,0,0,0
NCAPD3,100,1,3,3,2,0,22,1,0,0
SNORD153,1,0,0,0,0,0,0,0,0,0
VPS26B,63,2,2,1,2,3,35,0,0,1
THYN1,28,1,1,2,3,1,13,0,1,0
ACAD8,50,4,3,2,1,6,76,0,1,1
GLB1L3,2,0,0,0,0,0,1,0,0,0
GLB1L2,10,0,2,1,0,2,10,2,0,0
LOC124902798,0,0,0,0,0,0,0,0,0,0
B3GAT1,0,0,0,0,0,0,1,0,0,0
B3GAT1-DT,0,0,0,0,0,0,0,0,0,0
LOC124902799,0,0,0,0,0,0,0,0,0,0
LOC105369583,0,0,0,0,0,0,1,0,0,0
LINC02706,0,0,0,0,0,0,0,0,0,0
LINC02714,0,0,0,0,0,0,0,0,0,0
LINC02697,0,0,0,0,0,0,0,0,0,0
LOC100507548,0,0,0,0,0,0,0,0,0,0
LINC02717,0,0,0,0,0,0,0,0,0,0
LOC105369587,0,0,0,0,0,0,0,0,0,0
LINC02684,0,0,0,0,0,0,0,0,0,0
WASH8P,11,0,0,0,0,0,14,0,0,0
LOC107987170,0,0,0,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0,0,0,0
IQSEC3,7,0,0,0,0,0,0,0,0,0
IQSEC3-AS2,0,0,0,0,0,0,0,0,0,0
IQSEC3-AS3,1,0,0,0,0,0,0,0,0,0
IQSEC3-AS1,1,0,0,0,1,0,0,0,0,0
SLC6A12,5,0,0,0,0,0,0,0,0,0
SLC6A12-AS1,0,0,0,0,0,0,0,0,0,0
SLC6A13,2,0,0,0,0,0,0,0,0,0
LOC102723544,0,0,0,0,0,0,0,0,0,0
KDM5A,528,8,23,9,17,4,118,1,2,1
CCDC77,32,1,3,3,6,0,6,0,0,0
LOC105369594,0,0,0,0,0,0,0,0,0,0
B4GALNT3,70,4,4,1,4,0,7,0,1,0
LOC124902853,0,0,1,0,0,0,1,0,0,0
LOC124902852,0,0,0,0,0,0,0,0,0,0
NINJ2,28,0,0,0,0,0,5,0,0,0
LOC105369595,0,0,0,0,0,0,0,0,0,0
NINJ2-AS1,44,0,2,1,1,1,12,1,0,1
LINC02455,0,0,0,0,0,0,0,0,0,0
LOC101929432,1,0,0,0,0,0,1,0,0,0
WNK1,1622,13,30,12,27,31,477,13,13,5
RAD52,19,0,2,1,3,0,11,0,0,0
LOC124902855,1,0,0,0,0,0,0,0,0,0
ERC1,313,8,8,10,7,3,54,2,2,1
LOC124902857,0,0,0,0,0,0,0,0,0,0
LOC124902854,10,1,0,2,0,0,0,0,0,0
LOC107987182,3,0,0,0,0,0,0,0,0,0
LOC124902856,9,2,0,0,0,1,7,0,0,0
LINC00942,3,0,0,0,1,0,0,0,0,0
LOC107984507,11,0,0,0,0,0,0,0,1,0
FBXL14,68,1,1,0,0,1,48,4,0,0
WNT5B,53,2,1,1,2,0,19,0,0,0
MIR3649,0,0,0,0,0,0,0,0,0,0
ADIPOR2,177,1,11,8,10,3,88,2,3,1
CACNA2D4,3,0,0,0,1,0,0,0,0,0
LOC105369602,0,0,0,0,0,0,0,0,0,0
LOC105369601,0,0,0,0,0,0,0,0,0,0
LRTM2,0,0,0,0,0,0,0,0,0,0
LOC124902858,0,0,0,0,0,0,0,0,0,0
LINC00940,0,0,0,0,0,0,0,0,0,0
DCP1B,32,0,1,0,1,2,7,0,0,0
CACNA1C,32,0,0,0,0,0,0,0,0,0
CACNA1C-IT1,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT2,0,0,0,0,0,0,0,0,0,0
LOC107984131,14,0,1,0,0,0,1,0,0,0
CACNA1C-AS4,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT3,0,0,0,0,0,0,0,0,0,0
CACNA1C-AS2,0,0,0,0,0,0,0,0,0,0
CACNA1C-AS1,1,0,0,0,0,0,0,0,0,0
LINC02371,0,0,0,0,0,0,0,0,0,0
ITFG2-AS1,7,0,0,0,0,0,5,1,0,0
FKBP4,455,9,21,36,13,12,288,4,12,9
ITFG2,69,0,4,5,4,3,24,2,1,0
NRIP2,5,0,1,0,0,0,1,0,0,0
TEX52,1,0,0,0,0,0,0,0,0,0
FOXM1,67,2,13,8,23,1,11,0,0,0
RHNO1,186,0,8,6,9,6,90,3,5,0
LOC124902860,2,0,0,0,0,0,1,0,0,0
TULP3,202,7,10,6,4,5,148,2,2,1
LOC124903097,0,0,0,0,0,0,0,0,0,0
LOC124902859,2,0,0,0,0,0,1,0,0,0
TEAD4,25,0,0,3,0,0,11,0,1,0
TSPAN9,358,4,2,5,10,3,71,3,1,0
TSPAN9-IT1,1,0,0,0,0,0,0,0,0,0
LOC124902861,0,0,0,0,0,0,0,0,0,0
LOC100128253,1,0,1,0,0,0,0,0,0,0
LINC02827,13,0,3,0,0,0,0,0,0,0
LINC02417,0,0,0,0,0,0,0,0,0,0
PRMT8,0,0,0,0,0,0,0,0,0,0
LOC105369607,0,0,0,0,0,0,0,0,0,0
LOC124902862,0,0,0,0,0,0,0,0,0,0
THCAT155,0,0,1,0,0,0,0,0,0,0
CRACR2A,13,0,1,1,0,0,0,0,0,0
LOC107984495,0,0,0,0,0,0,0,0,0,0
PARP11,67,6,4,1,2,2,29,0,1,0
PARP11-AS1,1,0,0,0,1,0,0,0,0,0
LOC105369608,0,0,0,0,0,0,0,0,0,0
LINC03141,0,0,0,0,0,0,0,0,0,0
LOC124900317,0,0,0,0,0,0,0,0,0,0
LOC105369612,0,0,0,0,0,0,0,0,0,0
CCND2-AS1,7,0,0,0,0,1,0,0,0,0
CCND2,292,20,17,11,1,2,23,1,1,1
TIGAR,52,2,6,1,3,1,15,2,1,1
FGF23,0,0,0,0,0,0,0,0,0,0
FGF6,0,0,0,0,0,0,0,0,0,0
FERRY3,108,2,4,6,2,1,39,0,1,1
RAD51AP1,69,1,7,9,10,1,10,2,0,0
DYRK4,61,1,2,3,0,2,30,2,0,0
AKAP3,12,0,0,0,0,0,3,0,0,0
NDUFA9,163,2,11,9,11,7,114,2,1,2
GAU1,0,0,0,0,0,0,0,0,0,0
GALNT8,0,2,0,0,0,0,0,0,0,0
LOC124902863,0,0,0,0,0,0,0,0,0,0
KCNA6-AS1,0,0,0,0,0,0,0,0,0,0
KCNA6,2,0,0,0,0,0,1,0,0,0
KCNA1,0,0,0,0,0,0,0,0,0,0
LOC100507560,1,0,1,0,0,0,0,0,0,0
KCNA5,0,0,0,0,0,0,0,0,0,0
LOC105369617,40,0,0,1,1,0,6,0,0,0
LOC124902864,7,0,0,0,0,0,0,0,0,0
LOC105369616,8,1,1,0,0,0,0,0,0,0
LINC02443,2,0,0,0,0,0,0,0,0,0
LOC105369618,7,0,1,0,0,0,0,0,0,0
NTF3,3,0,2,0,0,2,1,0,0,0
LOC124902865,1,0,0,0,0,0,0,0,0,0
ANO2,24,0,1,0,1,0,3,0,0,0
LOC105369621,0,0,0,0,0,0,0,0,0,0
VWF,97,4,6,7,4,5,71,2,3,1
SNORA120,1,0,0,0,0,0,1,0,0,0
LOC124902866,2,0,0,0,0,0,0,0,0,0
LOC105369623,0,0,0,0,0,0,0,0,0,0
LOC105369622,0,0,0,0,0,0,0,0,0,0
CD9,1693,39,121,80,60,22,1137,29,29,15
LOC105369625,1,0,0,0,0,0,1,0,0,0
PLEKHG6,85,5,3,6,4,6,247,4,10,9
TNFRSF1A,754,4,13,16,22,9,281,3,6,2
LOC112268088,11,1,1,0,1,2,65,1,2,0
SCNN1A,125,8,9,16,9,31,799,15,19,6
LOC107984500,0,0,0,0,0,0,15,1,0,0
LOC105369626,1,0,0,0,0,0,0,0,0,0
LTBR,353,9,10,9,4,15,222,2,6,0
CD27-AS1,53,1,2,1,1,0,10,0,1,0
CD27,14,0,0,0,0,0,6,0,0,0
TAPBPL,86,1,1,3,8,1,22,2,0,0
VAMP1,21,0,0,0,0,0,8,0,0,1
MRPL51,392,11,16,20,7,8,219,5,3,1
NCAPD2,371,12,34,28,28,6,125,3,2,1
SCARNA10,3026,57,138,112,70,51,1451,67,16,15
GAPDH-DT,3,0,0,0,0,0,0,0,0,0
GAPDH,7767,268,260,206,388,250,7127,116,101,108
IFFO1,14,0,0,0,0,0,3,0,0,0
NOP2,138,3,11,2,4,1,17,1,0,0
CHD4-AS1,54,2,6,2,1,0,18,0,0,0
CHD4,645,17,37,19,19,11,153,5,4,1
SCARNA11,21,3,0,0,8,0,15,3,1,1
LOC124902867,0,0,0,0,0,0,0,0,0,0
LOC105369631,0,0,0,0,0,0,4,0,0,0
LPAR5,91,1,3,6,5,5,138,3,5,1
ACRBP,0,1,0,0,0,0,1,0,0,0
ING4,101,1,4,3,4,4,43,1,1,0
ZNF384,251,4,8,5,8,1,92,2,2,0
PIANP,1,0,0,0,0,0,0,0,0,0
COPS7A,193,4,6,6,10,9,184,4,2,1
MLF2,921,14,23,25,23,23,495,7,5,2
PTMS,333,7,11,6,5,8,91,0,0,2
LAG3,2,0,0,0,0,0,1,0,0,0
CD4,65,3,4,0,4,0,48,0,0,0
GPR162,0,0,2,0,0,0,1,0,0,0
P3H3,47,2,0,0,2,0,5,0,0,0
GNB3,4,0,0,1,0,0,0,0,0,0
CDCA3,54,1,4,7,5,1,14,0,0,0
USP5,182,5,9,4,5,2,51,0,2,1
TPI1,1638,64,60,60,59,51,1455,28,32,24
SPSB2,41,0,1,0,0,1,8,0,0,0
